City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
139,Gambiran,ID,-6.7988,111.4951,85.23,72,79,12.93,broken clouds,2021-02-01 03:40:59
140,East London,ZA,-33.0153,27.9116,66.2,94,75,19.57,light rain,2021-02-01 03:39:38
141,Umm Lajj,SA,25.0213,37.2685,70.2,33,0,2.62,clear sky,2021-02-01 03:40:59
142,Senanga,ZM,-16.1167,23.2667,66.18,96,100,6.17,moderate rain,2021-02-01 03:40:59
143,Jalu,LY,29.0331,21.5482,58.41,32,0,12.95,clear sky,2021-02-01 03:40:59
144,Monze,ZM,-16.2833,27.4833,64.51,96,100,2.68,overcast clouds,2021-02-01 03:40:59
145,Bluff,NZ,-46.6,168.3333,60.82,70,36,16.6,scattered clouds,2021-02-01 03:39:34
146,Esperance,AU,-33.8667,121.9,78.8,38,40,12.66,scattered clouds,2021-02-01 03:40:00
147,Ouadda,CF,8.0777,22.4007,69.51,23,0,5.3,clear sky,2021-02-01 03:41:00
148,Bajil,YE,15.0584,43.2851,69.75,86,4,0.89,clear sky,2021-02-01 03:41:00
149,Tasiilaq,GL,65.6145,-37.6368,14.0,62,90,1.14,overcast clouds,2021-02-01 03:37:14
150,Eureka,US,40.8021,-124.1637,55.0,85,100,8.01,overcast clouds,2021-02-01 03:36:05
151,Takanabe,JP,32.1333,131.5,62.6,55,75,12.66,broken clouds,2021-02-01 03:41:00
152,Quang Ngai,VN,15.1167,108.8,76.6,67,17,7.07,few clouds,2021-02-01 03:41:01
153,Hasaki,JP,35.7333,140.8333,48.0,57,40,2.3,light rain,2021-02-01 03:39:01
154,Narsaq,GL,60.9167,-46.05,41.0,30,75,14.97,broken clouds,2021-02-01 03:41:01
155,Henties Bay,NA,-22.116,14.2845,66.99,85,98,5.64,overcast clouds,2021-02-01 03:41:01
156,Agadez,NE,19.75,10.25,54.27,33,0,4.0,clear sky,2021-02-01 03:41:01
157,Komsomolskiy,UZ,40.4272,71.7189,41.0,45,40,4.61,scattered clouds,2021-02-01 03:40:23
158,Belyy Yar,RU,53.6039,91.3903,-20.2,76,23,0.25,mist,2021-02-01 03:41:02
159,Louiseville,CA,46.2559,-72.9415,3.2,85,0,6.91,clear sky,2021-02-01 03:41:02
