City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
363,Novoseleznevo,55.6821,69.2056,12.15,95,98,6.64,RU,2021-01-31 05:28:29
364,Chute-Aux-Outardes,49.1168,-68.399,12.2,67,1,4.61,CA,2021-01-31 05:28:29
365,Carballo,43.213,-8.691,53.01,95,100,3.0,ES,2021-01-31 05:28:29
366,Tautira,-17.7333,-149.15,73.4,88,75,6.91,PF,2021-01-31 05:25:14
367,Guozhen,34.3659,107.359,52.77,34,94,3.6,CN,2021-01-31 05:28:29
368,Rocha,-34.4833,-54.3333,65.55,91,100,14.58,UY,2021-01-31 05:25:27
369,Young,-32.6833,-57.6333,63.0,86,100,8.01,UY,2021-01-31 05:28:29
370,Jhajjar,28.6063,76.6565,62.01,72,0,4.61,IN,2021-01-31 05:28:30
371,Srednekolymsk,67.45,153.6833,-35.95,83,100,6.26,RU,2021-01-31 05:24:50
372,Iskateley,67.6803,53.1512,0.61,93,99,10.4,RU,2021-01-31 05:28:30
373,Daud Khel,32.875,71.5701,62.98,26,0,3.0,PK,2021-01-31 05:28:30
374,Taksimo,56.3444,114.8794,-20.38,79,100,0.85,RU,2021-01-31 05:28:30
375,Namatanai,-3.6667,152.4333,84.51,64,100,11.34,PG,2021-01-31 05:24:46
376,Ulaanbaatar,47.9077,106.8832,5.0,61,40,13.42,MN,2021-01-31 05:28:30
377,Mount Gambier,-37.8333,140.7667,73.4,46,0,16.11,AU,2021-01-31 05:28:31
378,Strelka,58.0728,93.0344,-29.24,80,0,4.76,RU,2021-01-31 05:28:31
379,Cooma,-36.2333,149.1333,77.0,53,40,19.57,AU,2021-01-31 05:28:31
380,Barahona,18.2085,-71.1008,72.59,75,7,2.86,DO,2021-01-31 05:28:31
381,Axim,4.8699,-2.2405,78.35,90,13,7.2,GH,2021-01-31 05:24:39
382,Trelew,-43.249,-65.3051,61.32,55,58,14.14,AR,2021-01-31 05:28:31
383,Sabha,27.0377,14.4283,54.54,43,0,8.43,LY,2021-01-31 05:25:42
384,Lavrentiya,65.5833,-171.0,-12.5,85,79,8.48,RU,2021-01-31 05:24:50
385,Saldanha,-33.0117,17.9442,64.36,91,12,5.17,ZA,2021-01-31 05:25:15
386,Alyangula,-13.8483,136.4192,91.4,58,19,6.91,AU,2021-01-31 05:24:53
387,Kolokani,13.5728,-8.0339,65.28,24,3,11.52,ML,2021-01-31 05:28:32
388,De-Kastri,51.4667,140.7833,0.45,83,100,9.75,RU,2021-01-31 05:28:32
389,Dunn,44.95,-91.8835,28.99,86,90,12.66,US,2021-01-31 05:28:32
390,Emba,48.8264,58.1442,16.12,93,2,8.32,KZ,2021-01-31 05:28:32
391,Kidal,18.4411,1.4078,60.15,27,11,9.01,ML,2021-01-31 05:24:56
392,Sao Filipe,14.8961,-24.4956,73.15,64,87,8.81,CV,2021-01-31 05:25:21
393,Rio Claro,-22.4114,-47.5614,75.0,76,96,1.32,BR,2021-01-31 05:28:32
394,Tigzirt,36.8886,4.1198,53.89,73,34,20.98,DZ,2021-01-31 05:28:32
395,Kahului,20.8947,-156.47,73.4,68,1,14.97,US,2021-01-31 05:28:33
396,Sawtell,-30.3833,153.1,81.0,69,31,14.97,AU,2021-01-31 05:28:33
397,Kogon,39.7228,64.5517,46.4,66,40,4.61,UZ,2021-01-31 05:28:33
398,Kyra,49.5776,111.9753,6.75,86,100,10.27,RU,2021-01-31 05:28:33
399,Kolyvan,55.3053,82.7391,-16.6,69,0,2.24,RU,2021-01-31 05:28:33
400,Mentakab,3.4865,102.3516,83.86,58,99,5.14,MY,2021-01-31 05:28:33
401,Sherlovaya Gora,50.5667,116.25,-16.15,89,95,6.98,RU,2021-01-31 05:28:33
402,Ostrovnoy,68.0531,39.5131,16.27,95,100,7.85,RU,2021-01-31 05:24:56
403,Kulhudhuffushi,6.6221,73.07,81.61,66,0,6.4,MV,2021-01-31 05:24:51
404,Tulun,54.5611,100.5792,-23.21,82,2,5.61,RU,2021-01-31 05:28:34
405,Gangapur,26.4833,76.7167,67.69,24,0,3.02,IN,2021-01-31 05:28:34
406,Garowe,8.4054,48.4845,65.95,78,19,13.06,SO,2021-01-31 05:28:34
407,Padang,-0.9492,100.3543,80.98,76,97,9.04,ID,2021-01-31 05:25:26
408,Himensulan,10.5967,124.2821,84.2,65,75,17.27,PH,2021-01-31 05:28:34
409,Kochi,9.9399,76.2602,87.8,55,0,2.3,IN,2021-01-31 05:24:31
410,Reforma,18.1,-91.0167,68.68,82,81,7.94,MX,2021-01-31 05:28:34
411,Verkhnevilyuysk,63.4453,120.3167,-42.83,77,63,2.1,RU,2021-01-31 05:26:33
412,Rivera,-30.9053,-55.5508,67.28,96,100,2.64,UY,2021-01-31 05:28:34
413,Nome,64.5011,-165.4064,-14.8,76,1,3.98,US,2021-01-31 05:25:27
414,Comarapa,-17.9,-64.4833,57.85,100,97,3.13,BO,2021-01-31 05:28:35
415,Marsala,37.7966,12.4352,59.0,88,75,10.36,IT,2021-01-31 05:28:35
416,Cafarnaum,-11.6936,-41.4683,68.0,86,58,6.2,BR,2021-01-31 05:28:35
417,Amol,36.4696,52.3507,52.47,53,0,2.26,IR,2021-01-31 05:28:35
418,Sultanpur,26.2667,82.0667,62.6,37,0,4.81,IN,2021-01-31 05:28:35
419,Brae,60.3964,-1.353,37.4,81,75,13.8,GB,2021-01-31 05:25:05
420,Pandan,14.0453,124.1694,78.53,75,100,18.16,PH,2021-01-31 05:25:25
421,Anloga,5.7947,0.8973,80.6,89,20,4.61,GH,2021-01-31 05:28:35
422,Deputatskiy,69.3,139.9,-27.44,88,100,2.55,RU,2021-01-31 05:25:51
423,Vuktyl,63.8567,57.3094,4.33,94,100,8.66,RU,2021-01-31 05:28:36
424,Bin Qirdan,33.1378,11.2197,64.49,29,82,25.41,TN,2021-01-31 05:28:36
425,Kyren,51.6828,102.1408,-8.48,80,97,2.06,RU,2021-01-31 05:25:40
426,Aylmer,42.7668,-80.983,23.0,74,90,11.5,CA,2021-01-31 05:28:36
427,Acarau,-2.8856,-40.12,78.03,86,100,10.47,BR,2021-01-31 05:28:36
428,Paraiso,9.8383,-83.8656,68.0,68,20,14.97,CR,2021-01-31 05:28:21
429,Praia,14.9215,-23.5087,73.4,49,0,16.11,CV,2021-01-31 05:25:22
430,Gat,31.61,34.7642,55.0,58,0,1.01,IL,2021-01-31 05:27:21
431,Fuyu,45.1833,124.8167,2.79,94,100,8.08,CN,2021-01-31 05:28:36
432,Portland,45.5234,-122.6762,46.99,76,90,14.97,US,2021-01-31 05:24:26
433,Hami,42.8,93.45,30.94,77,0,6.13,CN,2021-01-31 05:25:10
434,Baturaja,-4.1333,104.1667,81.48,72,94,5.68,ID,2021-01-31 05:28:37
435,Mayo,38.8876,-76.5119,32.0,55,1,5.17,US,2021-01-31 05:28:37
436,Lompoc,34.6391,-120.4579,46.0,93,1,2.01,US,2021-01-31 05:24:47
437,Saint-Francois,46.4154,3.9054,44.01,93,90,2.3,FR,2021-01-31 05:26:28
438,Phangnga,8.4509,98.5298,86.0,58,20,16.11,TH,2021-01-31 05:28:37
439,Floriano,-6.7669,-43.0225,73.87,87,100,1.83,BR,2021-01-31 05:25:08
440,Vaniyambadi,12.6833,78.6167,81.57,38,1,6.73,IN,2021-01-31 05:28:37
441,Jibuti,11.5,42.5,77.0,69,40,7.81,DJ,2021-01-31 05:28:38
442,Kathu,7.9178,98.3332,87.01,58,20,16.11,TH,2021-01-31 05:28:38
443,Durant,33.994,-96.3708,51.8,62,1,16.11,US,2021-01-31 05:27:26
444,Adelaide,-34.9333,138.6,82.99,50,0,14.97,AU,2021-01-31 05:26:23
445,Finschhafen,-6.6024,147.8681,87.15,69,100,18.7,PG,2021-01-31 05:28:38
446,Santa Maria Da Boa Vista,-8.8078,-39.8256,72.99,79,100,4.63,BR,2021-01-31 05:28:38
447,Hit,33.6416,42.8251,49.6,61,95,9.75,IQ,2021-01-31 05:28:38
448,Husavik,66.0449,-17.3389,15.8,73,75,9.22,IS,2021-01-31 05:25:28
449,Miramar,25.9873,-80.2323,70.0,49,95,9.22,US,2021-01-31 05:22:48
450,Semporna,4.4818,118.6112,77.0,94,40,11.25,MY,2021-01-31 05:28:39
451,Okhotsk,59.3833,143.3,-4.25,82,0,16.62,RU,2021-01-31 05:28:39
452,Tocopilla,-22.092,-70.1979,65.88,64,3,4.5,CL,2021-01-31 05:28:39
453,Aklavik,68.2191,-135.0107,-27.4,68,100,7.09,CA,2021-01-31 05:25:10
454,Beihai,21.4833,109.1,70.27,65,5,11.61,CN,2021-01-31 05:28:39
455,East Millcreek,40.7,-111.8105,32.0,86,1,3.76,US,2021-01-31 05:28:39
456,Sao Jose Da Coroa Grande,-8.8978,-35.1478,77.41,81,98,6.8,BR,2021-01-31 05:28:39
457,Aykhal,66.0,111.5,-30.57,81,100,12.5,RU,2021-01-31 05:25:41
458,Sire,12.9299,5.2043,63.0,26,53,10.67,NG,2021-01-31 05:28:39
459,Aracati,-4.5617,-37.7697,79.03,76,98,9.28,BR,2021-01-31 05:27:27
460,Pedasi,7.5333,-80.0333,78.73,75,81,24.45,PA,2021-01-31 05:28:40
461,Ancud,-41.8697,-73.8203,51.01,93,0,1.14,CL,2021-01-31 05:25:07
462,Port Blair,11.6667,92.75,83.55,66,0,12.01,IN,2021-01-31 05:24:50
463,Alfonsine,44.5061,12.0564,44.6,93,71,4.61,IT,2021-01-31 05:28:40
464,San Francisco Del Mar,16.2333,-94.65,74.25,82,8,12.46,MX,2021-01-31 05:28:40
